reviews,a1,a2,a3,engagement,gender,grade
1,0,240.0166667,243.1555556,M,0,0
1,0,78.4,93.34444444,H,1,2
3,0,79.76666667,85.83333333,H,1,1
1,0,238.8,251.05,M,0,2
0,0,109.5,124.6444444,H,0,2
1,0,99.26666667,111.5666667,H,0,1
3,0,225.1333333,219.1111111,M,0,0
5,0,84.11666667,104.3888889,H,1,0
0,0,65.91666667,85.48333333,H,1,2
3,0,236.85,253.0333333,M,0,2
2,0,213.55,235.8888889,M,0,0
2,0,234.25,250.2666667,M,1,0
0,0,263.8166667,274.8222222,M,1,0
8,0,78.73333333,83.88333333,H,0,2
4,0,147.05,146.1388889,H,0,1
2,0,112.7666667,101.6444444,H,1,0
4,0,222.3,245.1777778,M,0,1
1,0,271.9666667,162.5777778,H,1,0
0,0,268.5666667,308.4777778,M,1,0
3,0,24.23333333,62.23333333,H,0,2
1,0,79.55,93.61111111,H,1,2
0,0,68.76666667,83.56666667,H,1,1
1,0,222.7333333,151.8388889,H,1,0
4,0,69.1,84.91666667,H,1,2
0,0,249.3166667,344.1333333,L,1,2
1,0,99.76666667,111.0777778,H,0,0
3,0,98.96666667,110.2555556,H,1,0
2,0,256.1166667,274.1111111,M,1,0
1,0,74.95,85.07222222,H,1,2
1,0,18.71666667,36.32777778,H,0,2
2,0,218.65,241.7388889,M,1,2
0,0,235.9166667,253.6444444,M,1,1
3,0,202.55,226.1666667,M,0,1
2,0,272.0666667,279.4777778,M,1,1
3,0,79.15,92.65555556,H,1,2
1,0,114.0166667,117.8277778,H,0,0
1,0,44.18333333,64.17777778,H,0,0
1,0,104.0166667,124.4611111,H,0,0
0,0,272.65,277.6111111,M,0,1
5,0,60.08333333,80.25555556,H,1,1
3,0,270.85,285.3055556,M,0,0
1,0,80.75,95.72222222,H,0,2
1,0,41.31666667,55.36666667,H,1,0
0,0,271.2666667,285.7,M,0,2
0,0,104.7166667,119.5888889,H,1,2
1,0,124.55,139.8333333,H,1,1
2,0,223.2333333,241.8222222,M,1,2
0,0,123.9666667,134.1055556,H,1,2
0,0,80.03333333,94.34444444,H,1,1
2,0,240.7,258.0111111,M,0,2
5,0,124.6333333,197.6,M,0,1
2,1,632.0,495.3333333,L,0,0
0,0,213.5,177.0444444,H,1,2
3,0,127.7166667,137.3722222,H,1,2
1,0,78.73333333,89.41666667,H,0,2
1,0,56.28333333,69.90555556,H,1,1
1,0,95.06666667,105.7,H,1,0
2,0,253.45,266.8833333,M,1,0
2,0,249.05,263.3166667,M,0,0
2,0,67.7,84.86111111,H,0,0
4,0,224.55,243.7055556,M,1,0
5,0,272.7,291.9722222,M,1,2
1,0,213.75,238.0777778,M,0,2
4,0,86.46666667,108.1555556,H,0,1
1,0,264.8666667,272.5111111,M,0,0
12,0,273.1166667,288.0333333,M,0,1
4,0,261.95,275.4444444,M,0,0
0,0,83.26666667,106.5333333,H,1,1
1,0,233.35,244.1944444,M,0,2
3,0,223.4833333,242.2388889,M,1,2
0,0,81.08333333,100.2888889,H,1,2
2,0,263.65,274.4722222,M,0,1
2,0,231.7,247.55,M,1,0
0,0,209.7166667,230.7555556,M,1,1
5,0,89.28333333,97.61666667,H,0,1
2,0,92.38333333,108.2055556,H,0,1
2,0,116.4666667,129.9666667,H,1,0
0,0,257.55,265.9111111,M,1,1
0,0,217.7833333,241.5111111,M,0,2
1,0,78.81666667,90.06666667,H,1,0
0,0,73.38333333,90.94444444,H,1,1
1,0,73.76666667,88.96111111,H,0,0
2,0,54.36666667,64.87777778,H,1,1
2,0,73.66666667,85.03888889,H,0,1
0,0,74.15,85.06666667,H,1,1
1,0,59.78333333,73.12222222,H,0,0
5,0,257.9,271.9333333,M,0,1
2,0,38.78333333,49.83333333,H,0,2
4,0,210.0833333,231.8611111,M,0,1
1,0,64.1,52.26111111,H,0,1
1,0,71.65,85.05555556,H,0,1
5,0,98.93333333,114.3,H,1,2
4,0,270.0666667,284.9555556,M,0,2
5,0,242.7333333,253.9555556,M,1,1
3,0,79.36666667,90.97777778,H,0,0
5,0,148.3166667,147.1555556,H,0,2
3,0,97.08333333,110.7277778,H,1,1
8,0,127.1,271.1333333,L,1,1
3,0,103.6333333,117.0777778,H,0,2
0,0,211.6666667,235.8722222,M,1,1
6,0,91.28333333,101.7444444,H,1,2
1,0,214.7,235.0722222,M,1,2
1,0,56.2,71.15,H,1,2
3,0,206.9166667,221.9944444,M,0,0
1,0,207.5,224.6111111,M,0,2
3,0,117.5833333,163.9444444,M,1,2
3,0,68.88333333,81.61111111,H,1,2
1,0,223.6333333,240.1388889,M,0,2
2,0,68.08333333,83.86666667,H,0,1
1,0,235.9166667,251.65,M,0,1
1,0,125.95,141.5388889,H,1,2
1,0,128.8666667,142.3333333,H,1,2
3,0,260.7666667,269.2388889,M,1,0
1,0,221.4333333,239.6833333,M,0,1
1,0,229.5333333,248.1111111,M,1,1
3,0,205.7333333,196.4666667,M,0,2
2,0,237.2166667,252.3944444,M,1,2
1,0,100.5833333,148.8222222,H,1,0
1,0,122.8,135.65,H,0,1
1,0,126.4666667,138.65,H,1,1
3,0,201.2833333,202.5055556,M,1,1
0,0,271.5666667,359.1666667,L,0,1
2,0,248.7833333,263.4222222,M,0,0
4,0,50.43333333,58.22777778,H,1,1
1,0,111.8666667,119.8333333,H,0,1
4,0,71.01666667,84.51666667,H,1,0
0,0,116.1,125.4611111,H,1,1
4,0,223.75,277.8222222,M,1,0
4,0,270.8,282.8944444,M,1,0
3,0,270.3833333,154.7277778,H,1,0
2,0,216.8,239.9555556,M,0,2
5,0,123.6666667,134.3666667,H,0,1
0,0,103.4,117.8555556,H,0,2
1,0,55.36666667,66.20555556,H,0,1
1,0,211.9,225.8722222,M,1,2
2,0,391.8166667,266.8555556,M,1,1
2,0,37.21666667,72.17222222,H,0,2
2,0,57.31666667,69.62777778,H,1,1
0,0,95.08333333,108.9166667,H,1,1
1,0,79.95,110.1111111,H,1,0
0,0,88.41666667,101.4166667,H,1,1
4,0,125.4166667,128.7833333,H,1,1
3,0,33.46666667,47.69444444,H,0,2
2,0,212.2,236.0444444,M,1,2
5,0,67.26666667,79.48333333,H,0,0
1,0,53.68333333,76.82222222,H,1,0
5,0,232.5,246.2444444,M,1,0
2,0,138.85,141.4333333,H,0,2
2,0,233.2833333,249.5222222,M,1,0
1,0,234.0333333,246.8222222,M,0,0
1,0,38.86666667,54.84444444,H,1,0
0,0,247.9,266.0333333,M,1,2
0,0,148.0333333,334.0111111,L,0,2
2,0,212.3166667,232.95,M,1,1
2,0,247.9833333,261.5222222,M,1,2
2,0,245.05,253.0055556,M,1,0
0,0,111.85,129.7833333,H,1,0
3,0,70.21666667,81.76111111,H,1,2
0,0,90.1,94.71111111,H,0,1
1,0,224.4,253.7277778,M,0,2
0,0,251.3666667,260.7277778,M,0,0
2,0,118.8833333,133.3277778,H,0,2
0,0,268.0166667,281.1166667,M,1,1
1,0,225.0333333,244.5555556,M,1,1
1,0,88.2,99.52777778,H,0,2
2,0,35.93333333,62.0,H,0,0
1,0,58.9,71.60555556,H,0,0
1,0,81.03333333,68.52777778,H,1,0
1,0,120.0,134.4722222,H,1,2
1,0,231.9833333,238.5055556,M,0,2
0,0,212.8666667,235.45,M,1,1
5,0,228.65,246.6666667,M,0,0
1,0,53.06666667,68.20555556,H,1,0
2,0,320.9,300.3222222,M,1,0
1,0,122.6,135.4944444,H,0,2
3,0,207.7666667,232.8888889,M,1,0
3,0,95.31666667,108.3055556,H,1,0
2,0,90.73333333,104.7388889,H,1,0
0,0,235.15,224.8277778,M,0,1
2,0,234.85,249.9111111,M,0,0
0,0,123.5,134.5944444,H,1,2
0,0,266.85,273.8,M,1,2
2,0,258.5166667,273.9555556,M,1,0
0,0,128.1833333,142.4166667,H,1,0
7,0,271.65,283.1666667,M,1,0
1,0,74.25,87.76666667,H,1,2
2,0,96.68333333,111.3944444,H,0,0
1,0,85.55,100.3166667,H,1,1
12,0,85.58333333,100.5611111,H,1,2
1,0,67.28333333,80.58333333,H,1,1
2,0,80.31666667,91.51666667,H,1,2
2,0,102.5833333,116.7611111,H,1,0
0,0,271.3833333,286.3888889,M,1,1
2,0,77.28333333,84.57777778,H,0,1
4,0,127.5833333,143.3444444,H,1,0
4,0,65.93333333,78.3,H,1,0
3,0,92.46666667,111.5,H,1,1
4,0,101.45,105.3,H,0,1
0,0,230.5166667,246.7222222,M,0,0
2,0,208.55,231.7055556,M,1,2
1,0,240.0,249.0555556,M,0,2
2,0,128.5833333,142.5944444,H,0,2
5,0,88.85,106.0055556,H,0,1
1,0,112.9833333,122.65,H,0,0
1,0,80.21666667,97.75,H,0,0
2,0,271.0,278.7722222,M,0,1
2,0,80.85,90.08888889,H,0,1
3,0,259.75,275.5277778,M,0,0
4,0,268.85,279.4666667,M,0,0
0,0,51.88333333,67.44444444,H,1,0
2,0,63.78333333,81.45,H,1,2
0,0,265.25,275.4555556,M,1,1
1,0,219.0,240.0166667,M,1,0
3,0,116.0833333,129.8166667,H,0,2
1,0,70.98333333,81.06666667,H,1,2
1,0,102.3333333,103.5833333,H,1,2
0,0,260.3,273.1388889,M,0,1
1,0,258.1,271.6055556,M,1,1
1,0,235.7833333,218.5777778,M,0,0
0,0,246.45,258.7111111,M,1,0
2,0,57.03333333,71.85555556,H,1,0
0,0,266.4666667,280.1555556,M,1,0
2,0,83.06666667,96.9,H,0,0
5,0,270.15,284.8444444,M,0,0
7,0,55.1,77.56666667,H,0,2
1,0,91.85,107.2166667,H,0,1
0,0,116.75,132.9222222,H,1,2
2,0,209.1833333,233.6055556,M,0,1
1,0,267.4166667,280.4555556,M,0,0
0,0,261.2166667,276.7611111,M,1,1
1,0,222.9166667,238.35,M,1,2
0,0,40.51666667,55.39444444,H,0,0
1,0,88.93333333,101.25,H,1,0
2,0,627.8,374.3555556,M,1,2
2,0,84.9,107.5722222,H,0,0
1,0,127.9833333,142.6722222,H,0,2
3,0,264.8833333,275.9666667,M,1,1
0,0,213.8666667,233.4555556,M,1,2
0,0,140.3333333,151.1166667,H,1,2
1,0,47.9,64.22222222,H,0,1
0,0,106.9666667,123.7944444,H,0,2
1,0,97.36666667,243.6722222,L,1,2
1,0,49.46666667,60.61111111,H,0,0
1,0,200.4333333,222.1888889,M,0,0
3,0,67.03333333,81.10555556,H,0,2
2,0,427.3166667,309.4166667,M,0,2
0,0,319.6333333,317.4888889,M,0,2
2,0,269.9166667,282.7222222,M,1,0
3,0,295.5,274.3166667,M,0,1
5,0,55.03333333,70.52777778,H,0,1
0,0,70.05,84.32777778,H,0,0
2,0,88.16666667,104.1333333,H,0,2
0,0,107.5166667,98.89444444,H,1,2
1,0,267.35,281.5166667,M,1,1
2,0,45.3,63.71666667,H,1,0
1,0,91.85,103.4833333,H,1,1
1,0,77.15,92.94444444,H,1,1
1,0,283.4333333,182.9055556,H,1,1
2,0,113.7,127.2055556,H,1,2
10,0,61.15,86.24444444,H,0,0
2,0,87.98333333,105.6277778,H,0,0
0,0,127.3833333,142.0777778,H,0,2
3,0,41.48333333,60.20555556,H,1,1
2,0,124.25,100.7222222,H,1,1
4,0,235.4833333,249.4555556,M,0,0
2,0,90.85,104.0944444,H,1,1
4,0,264.9833333,288.8666667,M,0,2
2,0,243.2,258.9666667,M,0,1
5,0,84.85,101.1,H,0,2
2,0,124.6333333,131.0,H,0,0
1,0,223.7833333,208.8388889,M,1,0
0,0,71.08333333,80.32777778,H,1,2
1,0,235.8833333,250.5777778,M,1,1
0,0,272.6833333,286.1055556,M,1,2
1,0,59.93333333,73.43333333,H,0,1
3,0,224.75,281.4944444,M,1,0
2,0,246.55,261.4944444,M,1,1
1,0,234.15,247.1055556,M,1,1
5,0,215.1,234.8888889,M,0,2
0,0,245.6,253.3944444,M,0,1
2,0,229.6333333,250.1277778,M,0,0
4,0,254.45,253.3833333,M,1,0
2,0,122.75,134.5277778,H,1,0
1,0,91.31666667,106.6055556,H,1,1
3,0,212.2,236.3722222,M,1,1
3,0,95.46666667,109.5944444,H,1,1
2,0,223.1166667,241.7388889,M,1,0
1,0,266.1166667,278.2,M,0,0
2,0,264.7666667,273.9833333,M,1,0
0,0,38.98333333,54.21111111,H,1,1
1,0,207.05,238.4666667,M,0,0
0,0,127.7833333,141.7611111,H,1,2
5,0,239.4166667,253.9944444,M,0,0
4,0,51.13333333,66.4,H,0,2
1,0,89.38333333,96.13333333,H,1,0
2,0,72.16666667,83.74444444,H,0,0
3,0,437.9333333,344.5,M,0,2
0,0,232.2666667,240.2777778,M,0,0
7,0,205.3833333,221.2222222,M,0,1
3,0,124.4333333,136.9722222,H,0,2
3,0,219.0166667,242.7888889,M,0,1
2,0,209.75,231.3111111,M,1,2
3,0,267.6166667,168.0333333,H,1,0
0,1,632.0,378.6055556,L,1,2
2,0,88.56666667,103.0,H,0,0
3,0,233.95,251.3666667,M,1,0
0,0,55.63333333,70.53333333,H,1,1
2,0,94.81666667,108.8555556,H,0,2
3,0,74.63333333,87.3,H,1,0
1,0,109.2666667,124.8111111,H,0,0
2,0,80.55,88.98888889,H,1,1
6,0,220.2166667,194.4888889,M,0,2
2,0,44.46666667,67.60555556,H,0,1
0,0,235.3666667,254.4388889,M,0,0
